before,after,biased,top1,top2,top3
,,murder,murder,general,winton
,,tiny,tiny,strana,democratic
,,adversaries,adversaries,endured,for-profit
,,fine,fine,people,varies
,,beautiful,beautiful,sher,made
,,murdered,murdered,false,macedonian
,,stellar,stellar,choice,commonly
,,so-called,so-called,gallic,leader
,,actually,actually,endorsed,republican
,,proven,"""stuttering",automatically,proven
,,erupted,erupted,old,democratic
,,narrow,narrow,g4,serial
,,charged,"interview,",charged,question
,,terrorists,terrorists,loyalist,paramilitary
,,mouthwatering,mouthwatering,chutney,skewer
,,understand,refused,understand,written
,,boldly,boldly,great,"""minor"
,,courageous,courageous,best,promote
,,hopelessly,hopelessly,haven't,emergency
,,forcing,harshly,forcing,elaborate
,,jungle,unsuccessful,democratic,gubernatorial
,,masterpiece,masterpiece,enormous,gangsta
,,racy,somewhat,acclaim,racy
,,dual-threat,dual-threat,titans,commonly
,,miraculously,miraculously,orphanage;,provides
,,charismatic,charismatic,major,center-right
,,famous,famous,arsenal,asec
,,especially,especially,anu,visible
,,glamorous,glamorous,pinnacle,modern
,,overwhelmingly,divisive,pioneering,overwhelmingly
,,believe,7-year-old,killed,believe
,,costly,costly,poor,plagued
,,claims,claims,syrian,syrian
,,infamous,infamous,criminal,amendment
,,confirms,confirms,extremely,unfavorable
,,islamic,terrorism,suffered,fact
,,murdered,murdered,dumped,accused
,,comedienne,comedienne,fanny,actress
,,spokesman,terrorism,spokesman,said
,,abusers,abusers,advocated,intimidation
,,terrorists,terrorists,problem,already
,,attractive,attractive,file:sri,lanka
,,ironically,ironically,greenhithe,came
,,famous,famous,gypsies,photo
,,bravely,bravely,burnel,battled
,,christened,christened,trophy,presented
,,wonderful,wonderful,still,plcido
,,prestigious,prestigious,woman,african-american
,,deeply,deeply,food,education.
,,impressive,impressive,groundbreaking,advanced
,,kosovar,category:swedes,descent,kosovar
,,so-called,so-called,nativist,know-nothing
,,terrible,terrible,"gainesville,",sports
,,wittily,draconian,overly,wittily
,,disproved,claimed,disproved,non
,,automobile,legend,good,icon
,,comedienne,comedienne,british-born,singer-dancer-
,,villainous,humble,villainous,super
