,0,1
0,islamic,32
1,arguing,72
2,panel,75
3,varangians,83
4,minority,92
5,multi-millionaire,105
6,living,109
7,rate,119
8,known,124
9,white,129
10,democracy,134
11,stationed,137
12,evacuation,143
13,civilian,147
14,russia,152
15,mayrted,155
16,rights,158
17,ruled,170
18,re-christened,178
19,could,180
20,weakened,182
21,foundress,186
22,big,197
23,total,207
24,screamed,212
25,hooker,219
26,legal,226
27,initiated,227
28,expensive,229
29,wrote,254
30,objectivity,255
31,accused,260
32,variety,265
33,many,276
34,zunghar,277
35,misconcepted,287
36,heard,294
37,past,297
38,rusyn,325
39,antibody,333
40,actress,338
41,opposite,341
42,mosfet,342
43,often,345
44,pastunistan,347
45,alleged,351
46,functions,353
47,female,354
48,drift,356
49,hampered,367
50,considered,381
51,suite,386
52,fictional,408
53,kpa,411
54,attacks,423
55,indicates,431
56,proponents,437
57,interventions,447
58,descends,448
59,artificial,452
60,preemptive,462
61,machiavel,465
62,even,466
63,han,469
64,states,470
65,hardcore,475
66,temporary,476
67,undermine,489
68,deserted,499
69,pseudohistory,508
70,military,517
71,colonization,521
72,bisexuality,530
73,families,536
74,'s,537
75,sometimesdepends,543
76,enjoyed,546
77,presented,554
78,blog,568
79,suffered,575
80,endorsing,597
81,report,598
82,capturesthe,600
83,difficult-to-watch,602
84,realizing,608
85,viewed,609
86,charge,614
87,completely,629
88,coca,636
89,joint,638
90,humans,644
91,american,646
92,however,666
93,high,685
94,gave,696
95,behaviour,702
96,gnu/,707
97,held,720
98,impose,737
99,ever,740
100,/ecoterriost,742
101,satire,745
102,alleging,750
103,conspiracies,753
104,pleasant,776
105,ideology,796
106,fridges,813
107,suprising,819
108,new,822
109,handling,842
110,fence,850
111,european,853
112,tribe,858
113,denied,874
114,alias,897
115,still,899
116,hydroperoxyl,916
117,pseudo-history,920
118,valigarmanda,921
119,manning,925
120,star,926
121,military,928
122,dates,929
123,literal,931
124,people,943
125,adj,945
126,since-debunked,952
127,keeping,957
128,prescriptively,959
129,led,960
130,cogently,964
131,avoids,965
132,7,968
133,scientists,977
134,homosexual,983
135,reveal,988
136,native,1008
137,associated,1010
138,information,1012
139,him/her,1013
140,states,1014
141,free,1017
142,ca,1018
143,documented,1027
144,well,1053
145,implies,1070
146,error,1080
147,non-nazi,1082
148,heterosexual,1089
149,leading,1096
150,form,1113
151,pervasive,1115
152,co-founder,1122
153,taped,1124
154,plaguing,1129
155,nearly,1133
156,immediately,1141
157,belief,1166
158,hell,1175
159,client,1185
160,always,1192
161,wrong,1194
162,loudest,1203
163,industry,1208
164,sponsors,1216
165,poooooooo,1221
166,civil,1230
167,exhibits,1234
168,abd,1239
169,rgime,1243
170,communist,1248
171,newspaper,1250
172,practice,1252
173,government,1254
174,described,1258
175,vision,1259
176,fuhrer,1263
177,capture,1270
178,persian,1275
179,cracker,1278
180,witch-hunt,1287
181,religions,1303
